"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
New Caledonia,12358,15,280,0,11882,41,196,8,42694.0,967.0,42756,147712,289456,Australia/Oceania,51.8,0.0,677.1
CAR,11912,170,101,0,6859,0,4952,2,2406.0,20.0,60228,12165,4950763,Africa,34.3,0.0,1000.2
Yemen,10056,9,1962,5,6938,2,1156,23,327.0,64.0,265253,8620,30771977,Asia,0.3,0.2,37.6
Gambia,9998,0,342,0,9641,0,15,1,3976.0,136.0,125971,50100,2514375,Africa,0.0,0.0,6.0
Cayman Islands,7871,30,9,0,4339,0,3523,17,117768.0,135.0,213075,3188075,66835,North America,448.9,0.0,52711.9
Eritrea,7616,33,63,1,7369,20,184,0,2106.0,17.0,23693,6550,3617171,Africa,9.1,0.3,50.9
Gibraltar,7491,26,100,0,7102,23,289,0,222443.0,2969.0,426643,12669052,33676,Europe,772.1,0.0,8581.8
Niger,7149,18,267,2,6805,29,77,2,281.0,10.0,194647,7643,25466527,Africa,0.7,0.1,3.0
Guinea-Bissau,6447,2,149,0,6281,2,17,0,3168.0,73.0,108549,53342,2034974,Africa,1.0,0.0,8.4
Sierra Leone,6421,1,121,0,0,0,0,0,782.0,15.0,160729,19576,8210644,Africa,0.1,0.0,0.0
Dominica,6233,25,42,0,5768,0,423,0,86277.0,581.0,114250,1581446,72244,North America,346.0,0.0,5855.2
